i,date,holiday
165,2014-2-14,Valentines Day
166,2014-3-1,St David's Day
167,2014-3-4,Shrove Tuesday (Pancake Day)
168,2014-3-5,Ash Wednesday
169,2014-3-17,St Patricks Day
170,2014-3-30,British Summertime (BST) Begins
171,2014-3-30,Mothering Sunday (Mothers Day)
172,2014-4-1,April Fool's Day
173,2014-4-17,Maundy Thursday
174,2014-4-18,Good Friday
175,2014-4-20,Easter Sunday
176,2014-4-21,Easter Monday
177,2014-4-21,Queen Elizabeth's Birthday
178,2014-4-23,St George's Day
179,2014-5-5,May Day (Early May Bank Holiday)
180,2014-5-26,Spring Bank Holiday
181,2014-6-14,Trooping the Colour
182,2014-6-15,Father's Day
183,2014-7-14,Emmeline Pankhurst Day
184,2014-7-15,St.Swithun's Day (aka St. Swithin's)
185,2014-8-25,Summer Bank Holiday
186,2014-10-26,British Summertime (BST) Ends
187,2014-10-31,Halloween
188,2014-11-1,All Saints Day
189,2014-11-5,Guy Fawkes Night
190,2014-11-9,Remembrance Day (Remembrance Sunday)
191,2014-11-30,St Andrew's Day
192,2014-12-25,Christmas
193,2014-12-26,Boxing Day
194,2015-1-1,New Year's Day
195,2015-1-25,Robert Burns Night (Burns Night)
196,2015-1-27,Holocaust Memorial Day
197,2015-2-14,Valentines Day
198,2015-2-17,Shrove Tuesday (Pancake Day)
199,2015-2-18,Ash Wednesday
200,2015-3-1,St David's Day
201,2015-3-15,Mothering Sunday (Mothers Day)
202,2015-3-17,St Patricks Day
203,2015-3-29,British Summertime (BST) Begins
204,2015-4-1,April Fool's Day
205,2015-4-2,Maundy Thursday
206,2015-4-3,Good Friday
207,2015-4-5,Easter Sunday
208,2015-4-6,Easter Monday
209,2015-4-21,Queen Elizabeth's Birthday
210,2015-4-23,St George's Day
211,2015-5-4,May Day (Early May Bank Holiday)
212,2015-5-25,Spring Bank Holiday
213,2015-6-14,Trooping the Colour
214,2015-6-21,Father's Day
215,2015-7-14,Emmeline Pankhurst Day
216,2015-7-15,St.Swithun's Day (aka St. Swithin's)
217,2015-8-31,Summer Bank Holiday
218,2015-10-25,British Summertime (BST) Ends
219,2015-10-31,Halloween
220,2015-11-1,All Saints Day
221,2015-11-5,Guy Fawkes Night
222,2015-11-8,Remembrance Day (Remembrance Sunday)
223,2015-11-30,St Andrew's Day
224,2015-12-25,Christmas
225,2015-12-28,Boxing Day
226,2016-1-1,New Year's Day
227,2016-1-25,Robert Burns Night (Burns Night)
228,2016-1-27,Holocaust Memorial Day
229,2016-2-9,Shrove Tuesday (Pancake Day)
230,2016-2-10,Ash Wednesday
231,2016-2-14,Valentines Day
232,2016-3-1,St David's Day
233,2016-3-6,Mothering Sunday (Mothers Day)
234,2016-3-17,St Patricks Day
235,2016-3-24,Maundy Thursday
236,2016-3-25,Good Friday
237,2016-3-27,British Summertime (BST) Begins
238,2016-3-27,Easter Sunday
239,2016-3-28,Easter Monday
240,2016-4-1,April Fool's Day
241,2016-4-21,Queen Elizabeth's Birthday
242,2016-4-23,St George's Day
243,2016-5-2,May Day (Early May Bank Holiday)
244,2016-5-30,Spring Bank Holiday
245,2016-6-14,Trooping the Colour
246,2016-6-19,Father's Day
247,2016-7-14,Emmeline Pankhurst Day
248,2016-7-15,St.Swithun's Day (aka St. Swithin's)
249,2016-8-29,Summer Bank Holiday
250,2016-10-30,British Summertime (BST) Ends
251,2016-10-31,Halloween
252,2016-11-1,All Saints Day
253,2016-11-5,Guy Fawkes Night
254,2016-11-13,Remembrance Day (Remembrance Sunday)
255,2016-11-30,St Andrew's Day
256,2016-12-26,Boxing Day
257,2016-12-27,Christmas
258,2017-1-1,Hogmanay
259,2017-1-2,New Year's Day
260,2017-1-25,Robert Burns Night (Burns Night)
261,2017-1-27,Holocaust Memorial Day
262,2017-2-14,Valentines Day
263,2017-2-28,Shrove Tuesday (Pancake Day)
