date,holiday
2014-7-15,St.Swithun's Day (aka St. Swithin's)
2014-8-25,Summer Bank Holiday
2014-10-26,British Summertime (BST) Ends
2014-10-31,Halloween
2014-11-1,All Saints Day
2014-11-5,Guy Fawkes Night
2014-11-9,Remembrance Day (Remembrance Sunday)
2014-11-30,St Andrew's Day
2014-12-25,Christmas
2014-12-26,Boxing Day
2015-1-1,New Year's Day
2015-1-25,Robert Burns Night (Burns Night)
2015-1-27,Holocaust Memorial Day
2015-2-14,Valentines Day
2015-2-17,Shrove Tuesday (Pancake Day)
2015-2-18,Ash Wednesday
2015-3-1,St David's Day
2015-3-15,Mothering Sunday (Mothers Day)
2015-3-17,St Patricks Day
2015-3-29,British Summertime (BST) Begins
2015-4-1,April Fool's Day
2015-4-2,Maundy Thursday
2015-4-3,Good Friday
2015-4-5,Easter Sunday
2015-4-6,Easter Monday
2015-4-21,Queen Elizabeth's Birthday
2015-4-23,St George's Day
2015-5-4,May Day (Early May Bank Holiday)
2015-5-25,Spring Bank Holiday
2015-6-14,Trooping the Colour
2015-6-21,Father's Day
2015-7-14,Emmeline Pankhurst Day
2015-7-15,St.Swithun's Day (aka St. Swithin's)
2015-8-31,Summer Bank Holiday
2015-10-25,British Summertime (BST) Ends
2015-10-31,Halloween
2015-11-1,All Saints Day
2015-11-5,Guy Fawkes Night
2015-11-8,Remembrance Day (Remembrance Sunday)
2015-11-30,St Andrew's Day
2015-12-25,Christmas
2015-12-28,Boxing Day
2016-1-1,New Year's Day
2016-1-25,Robert Burns Night (Burns Night)
2016-1-27,Holocaust Memorial Day
2016-2-9,Shrove Tuesday (Pancake Day)
2016-2-10,Ash Wednesday
2016-2-14,Valentines Day
2016-3-1,St David's Day
2016-3-6,Mothering Sunday (Mothers Day)
2016-3-17,St Patricks Day
2016-3-24,Maundy Thursday
2016-3-25,Good Friday
2016-3-27,British Summertime (BST) Begins
2016-3-27,Easter Sunday
2016-3-28,Easter Monday
2016-4-1,April Fool's Day
2016-4-21,Queen Elizabeth's Birthday
2016-4-23,St George's Day
2016-5-2,May Day (Early May Bank Holiday)
2016-5-30,Spring Bank Holiday
2016-6-14,Trooping the Colour
2016-6-19,Father's Day
2016-7-14,Emmeline Pankhurst Day
2016-7-15,St.Swithun's Day (aka St. Swithin's)
2016-8-29,Summer Bank Holiday
2016-10-30,British Summertime (BST) Ends
2016-10-31,Halloween
2016-11-1,All Saints Day
2016-11-5,Guy Fawkes Night
2016-11-13,Remembrance Day (Remembrance Sunday)
2016-11-30,St Andrew's Day
2016-12-26,Boxing Day
2016-12-27,Christmas
2017-1-1,Hogmanay
2017-1-2,New Year's Day
2017-1-25,Robert Burns Night (Burns Night)
2017-1-27,Holocaust Memorial Day
2017-2-14,Valentines Day
2017-2-28,Shrove Tuesday (Pancake Day)
2017-3-1,Ash Wednesday
2017-3-1,St David's Day
2017-3-17,St Patricks Day
2017-3-26,British Summertime (BST) Begins
2017-3-26,Mothering Sunday (Mothers Day)
2017-4-1,April Fool's Day
2017-4-13,Maundy Thursday
2017-4-14,Good Friday
2017-4-16,Easter Sunday
2017-4-17,Easter Monday
2017-4-21,Queen Elizabeth's Birthday
2017-4-23,St George's Day
2017-5-1,May Day (Early May Bank Holiday)
2017-5-29,Spring Bank Holiday
2017-6-14,Trooping the Colour
2017-6-18,Father's Day
2017-7-14,Emmeline Pankhurst Day
2017-7-15,St.Swithun's Day (aka St. Swithin's)
2017-8-28,Summer Bank Holiday
2017-10-29,British Summertime (BST) Ends
2017-10-31,Halloween
2017-11-1,All Saints Day
2017-11-5,Guy Fawkes Night
2017-11-12,Remembrance Day (Remembrance Sunday)
2017-11-30,St Andrew's Day
2017-12-25,Christmas
2017-12-26,Boxing Day
2018-1-1,New Year's Day
2018-1-25,Robert Burns Night (Burns Night)
2018-1-27,Holocaust Memorial Day
2018-2-13,Shrove Tuesday (Pancake Day)
2018-2-14,Ash Wednesday
2018-2-14,Valentines Day
2018-3-1,St David's Day
2018-3-11,Mothering Sunday (Mothers Day)
2018-3-17,St Patricks Day
2018-3-25,British Summertime (BST) Begins
2018-3-29,Maundy Thursday
2018-3-30,Good Friday
2018-4-1,April Fool's Day
2018-4-1,Easter Sunday
2018-4-2,Easter Monday
2018-4-21,Queen Elizabeth's Birthday
2018-4-23,St George's Day
2018-5-7,May Day (Early May Bank Holiday)
2018-5-28,Spring Bank Holiday
2018-6-14,Trooping the Colour
2018-6-17,Father's Day
2018-7-14,Emmeline Pankhurst Day
2018-7-15,St.Swithun's Day (aka St. Swithin's)
2018-8-27,Summer Bank Holiday
2018-10-28,British Summertime (BST) Ends
2018-10-31,Halloween
2018-11-1,All Saints Day
2018-11-5,Guy Fawkes Night
2018-11-30,St Andrew's Day
2018-12-25,Christmas
2018-12-26,Boxing Day
2019-1-1,New Year's Day
2019-1-25,Robert Burns Night (Burns Night)
2019-1-27,Holocaust Memorial Day
2019-2-14,Valentines Day
2019-3-1,St David's Day
2019-3-5,Shrove Tuesday (Pancake Day)
2019-3-6,Ash Wednesday
2019-3-17,St Patricks Day
2019-3-31,British Summertime (BST) Begins
2019-3-31,Mothering Sunday (Mothers Day)
2019-4-1,April Fool's Day
2019-4-18,Maundy Thursday
2019-4-19,Good Friday
2019-4-21,Easter Sunday
2019-4-21,Queen Elizabeth's Birthday
2019-4-22,Easter Monday
2019-4-23,St George's Day
2019-5-6,May Day (Early May Bank Holiday)
2019-5-27,Spring Bank Holiday
2019-6-14,Trooping the Colour
2019-6-16,Father's Day
2019-7-14,Emmeline Pankhurst Day
2019-7-15,St.Swithun's Day (aka St. Swithin's)
2019-8-26,Summer Bank Holiday
2019-10-27,British Summertime (BST) Ends
2019-10-31,Halloween
2019-11-1,All Saints Day
2019-11-5,Guy Fawkes Night
2019-11-10,Remembrance Day (Remembrance Sunday)
2019-11-30,St Andrew's Day
2019-12-25,Christmas
2019-12-26,Boxing Day
2020-1-1,New Year's Day
2020-1-25,Robert Burns Night (Burns Night)
2020-1-27,Holocaust Memorial Day
2020-2-14,Valentines Day
2020-2-25,Shrove Tuesday (Pancake Day)
2020-2-26,Ash Wednesday
2020-3-1,St David's Day
2020-3-17,St Patricks Day
2020-3-22,Mothering Sunday (Mothers Day)
2020-3-29,British Summertime (BST) Begins
2020-4-1,April Fool's Day
2020-4-9,Maundy Thursday
